time, N, S, E, V, K, coverage
2282.0,52970,41027,33,11910,53414.81262327392,0.2248442514630923
2312.0,53138,41617,40,11481,53569.80078895484,0.21606007000639843
2343.0,53206,42164,40,11002,53729.79289940839,0.20678119009134308
2373.0,53191,35955,54,17182,53885.781065088806,0.3230245718260608
2404.0,53173,34289,49,18835,54055.7731755425,0.3542211272638369
2435.0,53265,35054,72,18139,54218.761341222904,0.3405425701680278
2465.0,53393,35830,59,17504,54376.75345167656,0.32783323656659114
2496.0,53574,36635,61,16878,54545.741617356915,0.3150408780378542
2526.0,53734,37411,68,16255,54706.73372781062,0.3025086537387874
2557.0,53920,38228,74,15618,54868.7218934911,0.2896513353115727
2588.0,54086,39002,53,15031,55042.71400394483,0.2779092556299227
2616.0,54235,39735,41,14459,55188.70216962534,0.2665990596478289
2647.0,54265,40332,25,13908,55359.694280078846,0.2562977978439141
2677.0,54480,41092,15,13373,55533.68244575956,0.24546622613803232
2708.0,54713,41852,16,12845,55695.67455621307,0.23477052985579297
2738.0,54973,42427,25,12521,55864.66272189345,0.2277663580303058
2769.0,54982,36941,14,18027,56035.654832347114,0.32787093958022623
2800.0,55111,35251,12,19848,56207.642998027506,0.360145887390902
2830.0,55334,36229,11,19094,56373.635108481394,0.34506813170925654
2861.0,55658,37263,8,18387,56547.62327416171,0.3303568220201948
2891.0,55835,38113,9,17713,56713.61143984213,0.3172382913942867
2922.0,55941,38960,5,16976,56893.60355029584,0.30346257664324916
2953.0,56185,39833,9,16343,57072.59171597631,0.2908783483136068
2981.0,56303,40521,11,15771,57229.58382642989,0.2801094080244392
3012.0,56577,41370,10,15197,57404.57199211055,0.26860738462626155
3042.0,56786,42087,19,14680,57575.560157790955,0.258514422568943
3073.0,56830,42740,9,14081,57755.55226824451,0.24777406299489707
3103.0,57010,43014,15,13981,57928.540433924965,0.24523767760042098
3134.0,57163,39004,14,18145,58108.52859960555,0.3174256074733656
3165.0,57370,39868,29,17473,58292.520710059216,0.30456684678403345
3195.0,57426,40602,23,16801,58461.5088757396,0.29256782642008844
3226.0,57559,41176,33,16350,58646.49704142037,0.28405635956149344
3256.0,57726,41965,26,15735,58819.48915187379,0.2725808128053217
3287.0,57925,40859,11,17055,59004.47731755422,0.2944324557617609
3318.0,58119,41727,13,16379,59190.46548323483,0.2818183382370653
3346.0,58178,42405,12,15761,59355.45759368841,0.27090996596651656
3377.0,58533,43352,20,15161,59539.44575936879,0.25901628141390326
3407.0,58797,44185,20,14592,59721.433925049234,0.2481759273432318
3438.0,59011,44976,17,14018,59907.4220907298,0.2375489315551338
3468.0,59116,42488,10,16618,60086.41420118337,0.2811083293862914
3499.0,59310,42027,15,17268,60274.40236686399,0.2911482043500253
3530.0,59492,42632,10,16850,60466.39053254437,0.28323135883816314
3560.0,59765,43536,6,16223,60649.378698224784,0.2714464987869154
3591.0,59977,44306,8,15663,60845.366863905394,0.26115010754122414
3621.0,60076,44983,11,15082,61022.358974358984,0.2510486716825355
3652.0,60293,45804,6,14483,61214.34714003938,0.24021030633738577
3683.0,60550,46076,3,14471,61409.335305720015,0.2389925681255161
3712.0,60871,46896,5,13970,61587.323471400494,0.22950173317343234
3743.0,60972,47565,9,13398,61784.31163708085,0.21974020862035032
3773.0,61179,48272,17,12890,61975.303747534446,0.21069321172297684
3804.0,61407,48117,11,13279,62166.29191321506,0.216245704887065
3834.0,61574,44990,7,16577,62354.280078895245,0.2692207750024361
3865.0,61644,44561,10,17073,62553.268244576066,0.2769612614366362
3896.0,61856,45475,5,16376,62755.25641025656,0.2647439213657527
3926.0,62114,46314,4,15796,62941.24457593681,0.25430659754644686
3957.0,62331,45126,2,17203,63140.23274161726,0.27599428855625613
3987.0,62435,45892,2,16541,63335.22485207093,0.26493152878994153
4018.0,62638,46698,14,15926,63539.21301775154,0.25425460583032666
4049.0,62896,46620,9,16267,63741.20118343194,0.25863329941490715
4077.0,63033,43171,12,19850,63923.18934911251,0.31491440991226816
4108.0,63210,41855,5,21350,64124.177514792835,0.3377630121816168
4138.0,63335,42784,8,20543,64319.16568047325,0.32435462224678296
4169.0,63611,43668,9,19934,64526.15384615356,0.3133734731414378
4199.0,63858,43173,5,20680,64727.14201183422,0.323843527827367
4230.0,64092,43856,6,20230,64932.13017751482,0.31564001747487985
4261.0,64242,44734,7,19501,65138.118343195216,0.30355530649730705
4291.0,64450,45657,7,18786,65338.10650887588,0.29148176881303334
4322.0,64511,46221,10,18280,65544.09467455617,0.283362527320922
4352.0,64767,47195,14,17558,65750.08284023665,0.27109484768477776
