detection,sim,mcc,majority,cutoff,tree_type,nobs
0.95,15,0,0,0.95,Random sample,3005
0.95,15,0,0,0.95,Random sample,3005
0.91,15,0,0,0.95,Random sample,3005
0.96,15,0,0,0.95,Random sample,3005
0.94,15,0,0,0.95,Random sample,3005
0.95,15,0,0,0.95,Random sample,3005
0.98,15,0,0,0.95,Random sample,3005
0.95,15,0,0,0.95,Random sample,3005
0.93,15,0,0,0.95,Random sample,3005
0.94,23,0,0,0.95,Random sample,3004
0.95,23,0,0,0.95,Random sample,3004
0.95,23,0,0,0.95,Random sample,3004
0.97,23,0,0,0.95,Random sample,3004
0.96,23,0,0,0.95,Random sample,3004
0.94,23,0,0,0.95,Random sample,3004
0.9,23,0,0,0.95,Random sample,3004
0.94,23,0,0,0.95,Random sample,3004
0.96,23,0,0,0.95,Random sample,3004
0.95,23,0,0,0.95,Random sample,3004
0.92,23,0,0,0.95,Random sample,3004
0.96,23,0,0,0.95,Random sample,3004
0.94,23,0,0,0.95,Random sample,3004
0.93,23,0,0,0.95,Random sample,3004
0.96,23,0,0,0.95,Random sample,3004
0.95,23,0,0,0.95,Random sample,3004
0.95,23,0,0,0.95,Random sample,3004
0.93,23,0,0,0.95,Random sample,3004
0.95,23,0,0,0.95,Random sample,3004
0.97,23,0,0,0.95,Random sample,3004
0.93,23,0,0,0.95,Random sample,3004
0.98,23,0,0,0.95,Random sample,3004
0.94,23,0,0,0.95,Random sample,3004
0.95,23,0,0,0.95,Random sample,3004
0.94,23,0,0,0.95,Random sample,3004
0.95,23,0,0,0.95,Random sample,3004
0.97,23,0,0,0.95,Random sample,3004
0.94,23,0,0,0.95,Random sample,3004
0.97,23,0,0,0.95,Random sample,3004
0.95,23,0,0,0.95,Random sample,3004
0.91,23,0,0,0.95,Random sample,3004
0.96,23,0,0,0.95,Random sample,3004
0.93,23,0,0,0.95,Random sample,3004
0.92,23,0,0,0.95,Random sample,3004
0.95,23,0,0,0.95,Random sample,3004
0.93,23,0,0,0.95,Random sample,3004
0.94,23,0,0,0.95,Random sample,3004
0.92,23,0,0,0.95,Random sample,3004
0.91,23,0,0,0.95,Random sample,3004
0.97,23,0,0,0.95,Random sample,3004
0.96,23,0,0,0.95,Random sample,3004
0.93,23,0,0,0.95,Random sample,3004
0.97,23,0,0,0.95,Random sample,3004
0.94,23,0,0,0.95,Random sample,3004
0.94,23,0,0,0.95,Random sample,3004
0.93,23,0,0,0.95,Random sample,3004
0.93,23,0,0,0.95,Random sample,3004
0.93,23,0,0,0.95,Random sample,3004
0.92,23,0,0,0.95,Random sample,3004
0.95,23,0,0,0.95,Random sample,3004
0.94,23,0,0,0.95,Random sample,3004
0.97,23,0,0,0.95,Random sample,3004
0.95,23,0,0,0.95,Random sample,3004
0.97,23,0,0,0.95,Random sample,3004
0.95,23,0,0,0.95,Random sample,3004
0.94,23,0,0,0.95,Random sample,3004
0.93,23,0,0,0.95,Random sample,3004
0.95,23,0,0,0.95,Random sample,3004
0.92,23,0,0,0.95,Random sample,3004
0.95,23,0,0,0.95,Random sample,3004
0.96,23,0,0,0.95,Random sample,3004
0.95,23,0,0,0.95,Random sample,3004
0.93,23,0,0,0.95,Random sample,3004
0.96,23,0,0,0.95,Random sample,3004
0.95,23,0,0,0.95,Random sample,3004
0.97,23,0,0,0.95,Random sample,3004
0.92,23,0,0,0.95,Random sample,3004
0.93,23,0,0,0.95,Random sample,3004
0.95,23,0,0,0.95,Random sample,3004
0.94,23,0,0,0.95,Random sample,3004
0.95,23,0,0,0.95,Random sample,3004
0.95,23,0,0,0.95,Random sample,3004
0.94,23,0,0,0.95,Random sample,3004
0.96,23,0,0,0.95,Random sample,3004
0.92,23,0,0,0.95,Random sample,3004
0.96,23,0,0,0.95,Random sample,3004
0.93,23,0,0,0.95,Random sample,3004
0.9,23,0,0,0.95,Random sample,3004
0.96,23,0,0,0.95,Random sample,3004
0.94,23,0,0,0.95,Random sample,3004
0.93,23,0,0,0.95,Random sample,3004
0.94,23,0,0,0.95,Random sample,3004
0.91,23,0,0,0.95,Random sample,3004
0.92,23,0,0,0.95,Random sample,3004
0.96,23,0,0,0.95,Random sample,3004
0.94,23,0,0,0.95,Random sample,3004
0.95,23,0,0,0.95,Random sample,3004
0.93,23,0,0,0.95,Random sample,3004
0.95,23,0,0,0.95,Random sample,3004
0.93,23,0,0,0.95,Random sample,3004
0.92,23,0,0,0.95,Random sample,3004
0.94,23,0,0,0.95,Random sample,3004
0.94,23,0,0,0.95,Random sample,3004
0.96,23,0,0,0.95,Random sample,3004
0.94,23,0,0,0.95,Random sample,3004
0.95,23,0,0,0.95,Random sample,3004
0.95,23,0,0,0.95,Random sample,3004
0.95,23,0,0,0.95,Random sample,3004
0.96,23,0,0,0.95,Random sample,3004
0.94,23,0,0,0.95,Random sample,3004
0.93,31,0,0,0.95,Random sample,3011
0.89,31,0,0,0.95,Random sample,3011
0.94,31,0,0,0.95,Random sample,3011
0.92,31,0,0,0.95,Random sample,3011
0.91,31,0,0,0.95,Random sample,3011
0.95,31,0,0,0.95,Random sample,3011
0.9,31,0,0,0.95,Random sample,3011
0.91,31,0,0,0.95,Random sample,3011
0.88,31,0,0,0.95,Random sample,3011
0.93,31,0,0,0.95,Random sample,3011
0.92,31,0,0,0.95,Random sample,3011
0.93,31,0,0,0.95,Random sample,3011
0.92,31,0,0,0.95,Random sample,3011
0.89,31,0,0,0.95,Random sample,3011
0.91,31,0,0,0.95,Random sample,3011
0.89,31,0,0,0.95,Random sample,3011
0.92,31,0,0,0.95,Random sample,3011
0.92,31,0,0,0.95,Random sample,3011
0.89,31,0,0,0.95,Random sample,3011
0.92,31,0,0,0.95,Random sample,3011
0.93,31,0,0,0.95,Random sample,3011
0.94,31,0,0,0.95,Random sample,3011
0.91,31,0,0,0.95,Random sample,3011
0.88,31,0,0,0.95,Random sample,3011
0.91,31,0,0,0.95,Random sample,3011
0.88,31,0,0,0.95,Random sample,3011
0.89,31,0,0,0.95,Random sample,3011
0.9,31,0,0,0.95,Random sample,3011
0.91,31,0,0,0.95,Random sample,3011
0.9,31,0,0,0.95,Random sample,3011
0.91,31,0,0,0.95,Random sample,3011
0.94,31,0,0,0.95,Random sample,3011
0.91,31,0,0,0.95,Random sample,3011
0.9,31,0,0,0.95,Random sample,3011
0.91,31,0,0,0.95,Random sample,3011
0.91,31,0,0,0.95,Random sample,3011
0.92,31,0,0,0.95,Random sample,3011
0.92,31,0,0,0.95,Random sample,3011
0.93,31,0,0,0.95,Random sample,3011
0.91,31,0,0,0.95,Random sample,3011
0.9,31,0,0,0.95,Random sample,3011
0.9,31,0,0,0.95,Random sample,3011
0.94,31,0,0,0.95,Random sample,3011
0.89,31,0,0,0.95,Random sample,3011
0.9,31,0,0,0.95,Random sample,3011
0.93,31,0,0,0.95,Random sample,3011
0.91,31,0,0,0.95,Random sample,3011
0.89,31,0,0,0.95,Random sample,3011
0.95,31,0,0,0.95,Random sample,3011
0.89,31,0,0,0.95,Random sample,3011
0.9,31,0,0,0.95,Random sample,3011
0.9,31,0,0,0.95,Random sample,3011
0.92,31,0,0,0.95,Random sample,3011
0.91,31,0,0,0.95,Random sample,3011
0.91,31,0,0,0.95,Random sample,3011
0.88,31,0,0,0.95,Random sample,3011
0.93,31,0,0,0.95,Random sample,3011
0.89,31,0,0,0.95,Random sample,3011
0.96,31,0,0,0.95,Random sample,3011
0.91,31,0,0,0.95,Random sample,3011
0.88,31,0,0,0.95,Random sample,3011
0.92,31,0,0,0.95,Random sample,3011
0.97,31,0,0,0.95,Random sample,3011
0.92,31,0,0,0.95,Random sample,3011
0.9,31,0,0,0.95,Random sample,3011
0.9,31,0,0,0.95,Random sample,3011
0.89,31,0,0,0.95,Random sample,3011
0.94,31,0,0,0.95,Random sample,3011
0.93,31,0,0,0.95,Random sample,3011
0.9,31,0,0,0.95,Random sample,3011
0.9,31,0,0,0.95,Random sample,3011
0.91,31,0,0,0.95,Random sample,3011
0.88,31,0,0,0.95,Random sample,3011
0.9,31,0,0,0.95,Random sample,3011
0.89,31,0,0,0.95,Random sample,3011
0.91,31,0,0,0.95,Random sample,3011
0.92,31,0,0,0.95,Random sample,3011
0.92,31,0,0,0.95,Random sample,3011
0.89,31,0,0,0.95,Random sample,3011
0.88,31,0,0,0.95,Random sample,3011
0.92,31,0,0,0.95,Random sample,3011
0.92,31,0,0,0.95,Random sample,3011
0.91,31,0,0,0.95,Random sample,3011
0.92,31,0,0,0.95,Random sample,3011
0.89,31,0,0,0.95,Random sample,3011
0.88,31,0,0,0.95,Random sample,3011
0.93,31,0,0,0.95,Random sample,3011
0.9,31,0,0,0.95,Random sample,3011
0.91,31,0,0,0.95,Random sample,3011
0.91,31,0,0,0.95,Random sample,3011
0.92,31,0,0,0.95,Random sample,3011
0.91,31,0,0,0.95,Random sample,3011
0.92,31,0,0,0.95,Random sample,3011
0.93,31,0,0,0.95,Random sample,3011
0.89,31,0,0,0.95,Random sample,3011
0.89,31,0,0,0.95,Random sample,3011
0.9,31,0,0,0.95,Random sample,3011
0.9,31,0,0,0.95,Random sample,3011
0.95,31,0,0,0.95,Random sample,3011
0.92,31,0,0,0.95,Random sample,3011
0.93,44,0,0,0.95,Random sample,3007
0.93,44,0,0,0.95,Random sample,3007
0.93,44,0,0,0.95,Random sample,3007
0.92,44,0,0,0.95,Random sample,3007
0.93,44,0,0,0.95,Random sample,3007
0.93,44,0,0,0.95,Random sample,3007
0.95,44,0,0,0.95,Random sample,3007
0.94,44,0,0,0.95,Random sample,3007
0.9,44,0,0,0.95,Random sample,3007
0.96,44,0,0,0.95,Random sample,3007
0.96,44,0,0,0.95,Random sample,3007
0.91,44,0,0,0.95,Random sample,3007
0.94,44,0,0,0.95,Random sample,3007
0.96,44,0,0,0.95,Random sample,3007
0.94,44,0,0,0.95,Random sample,3007
0.93,44,0,0,0.95,Random sample,3007
0.94,44,0,0,0.95,Random sample,3007
0.94,44,0,0,0.95,Random sample,3007
0.94,44,0,0,0.95,Random sample,3007
0.93,44,0,0,0.95,Random sample,3007
0.92,44,0,0,0.95,Random sample,3007
0.93,44,0,0,0.95,Random sample,3007
0.93,44,0,0,0.95,Random sample,3007
0.95,44,0,0,0.95,Random sample,3007
0.95,44,0,0,0.95,Random sample,3007
0.93,44,0,0,0.95,Random sample,3007
0.95,44,0,0,0.95,Random sample,3007
0.96,44,0,0,0.95,Random sample,3007
0.92,44,0,0,0.95,Random sample,3007
0.96,44,0,0,0.95,Random sample,3007
0.94,44,0,0,0.95,Random sample,3007
0.94,44,0,0,0.95,Random sample,3007
0.98,44,0,0,0.95,Random sample,3007
0.94,44,0,0,0.95,Random sample,3007
0.94,44,0,0,0.95,Random sample,3007
0.94,44,0,0,0.95,Random sample,3007
0.94,44,0,0,0.95,Random sample,3007
0.94,44,0,0,0.95,Random sample,3007
0.96,44,0,0,0.95,Random sample,3007
0.92,44,0,0,0.95,Random sample,3007
0.93,44,0,0,0.95,Random sample,3007
0.91,44,0,0,0.95,Random sample,3007
0.92,44,0,0,0.95,Random sample,3007
