true,est_sorted,est_unsorted,sim,nobs,tree_type
0.815035319905728,0.77,0.64,13,3000,kappa
0.815035319905728,0.76,0.64,13,3000,kappa
0.815035319905728,0.81,0.66,13,3000,kappa
0.20556770212017,0.16,0.21,14,3000,kappa
0.20556770212017,0.17,0.21,14,3000,kappa
0.20556770212017,0.16,0.21,14,3000,kappa
0.20556770212017,0.17,0.21,14,3000,kappa
0.20556770212017,0.17,0.21,14,3000,kappa
0.20556770212017,0.17,0.21,14,3000,kappa
0.20556770212017,0.16,0.21,14,3000,kappa
0.20556770212017,0.17,0.21,14,3000,kappa
0.20556770212017,0.17,0.21,14,3000,kappa
0.20556770212017,0.17,0.21,14,3000,kappa
0.81080649712123,0.71,0.64,15,3000,kappa
0.81080649712123,0.74,0.64,15,3000,kappa
0.81080649712123,0.73,0.64,15,3000,kappa
0.81080649712123,0.69,0.63,15,3000,kappa
0.81080649712123,0.71,0.64,15,3000,kappa
0.81080649712123,0.7,0.62,15,3000,kappa
0.81080649712123,0.7,0.62,15,3000,kappa
0.81080649712123,0.72,0.62,15,3000,kappa
0.81080649712123,0.73,0.63,15,3000,kappa
0.81080649712123,0.75,0.64,15,3000,kappa
0.969341826941818,0.96,0.71,16,3000,kappa
0.969341826941818,0.99,0.7,16,3000,kappa
0.969341826941818,0.99,0.7,16,3000,kappa
0.969341826941818,0.96,0.69,16,3000,kappa
0.969341826941818,0.98,0.69,16,3000,kappa
0.969341826941818,0.97,0.69,16,3000,kappa
0.969341826941818,0.97,0.69,16,3000,kappa
0.969341826941818,0.99,0.68,16,3000,kappa
0.969341826941818,0.96,0.69,16,3000,kappa
0.969341826941818,0.99,0.69,16,3000,kappa
0.129069667672738,0.11,0.14,17,3000,kappa
0.129069667672738,0.11,0.14,17,3000,kappa
0.129069667672738,0.11,0.14,17,3000,kappa
0.129069667672738,0.11,0.14,17,3000,kappa
0.129069667672738,0.12,0.14,17,3000,kappa
0.129069667672738,0.11,0.14,17,3000,kappa
0.129069667672738,0.11,0.14,17,3000,kappa
0.129069667672738,0.11,0.14,17,3000,kappa
0.129069667672738,0.11,0.14,17,3000,kappa
0.129069667672738,0.12,0.14,17,3000,kappa
0.29357682983391,0.23,0.3,18,3000,kappa
0.29357682983391,0.23,0.29,18,3000,kappa
0.29357682983391,0.23,0.3,18,3000,kappa
0.29357682983391,0.23,0.31,18,3000,kappa
0.29357682983391,0.23,0.3,18,3000,kappa
0.29357682983391,0.23,0.29,18,3000,kappa
0.29357682983391,0.23,0.3,18,3000,kappa
0.29357682983391,0.23,0.3,18,3000,kappa
0.29357682983391,0.23,0.3,18,3000,kappa
0.29357682983391,0.23,0.3,18,3000,kappa
0.643411516738124,0.49,0.54,19,3000,kappa
0.643411516738124,0.5,0.54,19,3000,kappa
0.643411516738124,0.5,0.55,19,3000,kappa
0.643411516738124,0.47,0.53,19,3000,kappa
0.643411516738124,0.5,0.55,19,3000,kappa
0.643411516738124,0.49,0.54,19,3000,kappa
0.643411516738124,0.48,0.53,19,3000,kappa
0.643411516738124,0.5,0.55,19,3000,kappa
0.643411516738124,0.49,0.54,19,3000,kappa
0.643411516738124,0.51,0.55,19,3000,kappa
0.185194348893128,0.16,0.2,20,3000,kappa
0.185194348893128,0.16,0.2,20,3000,kappa
0.185194348893128,0.16,0.2,20,3000,kappa
