si_pdist,dist_pdist,convolve,prune,cutoff,use_known,i.si_pdist,i.dist_pdist,i.convolve,i.prune,i.cutoff,i.use_known,prop_matching,same_dist,same_si,same_cutoff,same_convol,group_val
weibull,gamma,mixed,TRUE,0.95,TRUE,lnorm,gamma,mixed,TRUE,0.975,TRUE,0.7439773264052905,FALSE,TRUE,FALSE,TRUE,Same SI
weibull,gamma,mixed,TRUE,0.975,TRUE,lnorm,gamma,mixed,TRUE,0.975,TRUE,0.8105810108644308,FALSE,TRUE,TRUE,TRUE,Same SI
weibull,lnorm,mixed,TRUE,0.95,TRUE,lnorm,gamma,mixed,TRUE,0.975,TRUE,0.6438356164383562,FALSE,FALSE,FALSE,TRUE,Both different
weibull,lnorm,mixed,TRUE,0.975,TRUE,lnorm,gamma,mixed,TRUE,0.975,TRUE,0.6306093528578177,FALSE,FALSE,TRUE,TRUE,Both different
weibull,weibull,mixed,TRUE,0.95,TRUE,lnorm,gamma,mixed,TRUE,0.975,TRUE,0.7033538025507794,FALSE,FALSE,FALSE,TRUE,Both different
weibull,weibull,mixed,TRUE,0.975,TRUE,lnorm,gamma,mixed,TRUE,0.975,TRUE,0.7151629664619745,FALSE,FALSE,TRUE,TRUE,Both different
gamma,gamma,mixed,TRUE,0.95,TRUE,lnorm,lnorm,mixed,TRUE,0.95,TRUE,0.6221067548417573,FALSE,FALSE,TRUE,TRUE,Both different
gamma,gamma,mixed,TRUE,0.975,TRUE,lnorm,lnorm,mixed,TRUE,0.95,TRUE,0.6683986773736419,FALSE,FALSE,FALSE,TRUE,Both different
gamma,lnorm,mixed,TRUE,0.95,TRUE,lnorm,lnorm,mixed,TRUE,0.95,TRUE,0.8110533774208786,FALSE,TRUE,TRUE,TRUE,Same SI
gamma,lnorm,mixed,TRUE,0.975,TRUE,lnorm,lnorm,mixed,TRUE,0.95,TRUE,0.75484175720359,FALSE,TRUE,FALSE,TRUE,Same SI
gamma,weibull,mixed,TRUE,0.95,TRUE,lnorm,lnorm,mixed,TRUE,0.95,TRUE,0.7156353330184223,FALSE,FALSE,TRUE,TRUE,Both different
gamma,weibull,mixed,TRUE,0.975,TRUE,lnorm,lnorm,mixed,TRUE,0.95,TRUE,0.7321681624940954,FALSE,FALSE,FALSE,TRUE,Both different
lnorm,gamma,mixed,TRUE,0.95,TRUE,lnorm,lnorm,mixed,TRUE,0.95,TRUE,0.6622579121398205,TRUE,FALSE,TRUE,TRUE,Same DK
lnorm,gamma,mixed,TRUE,0.975,TRUE,lnorm,lnorm,mixed,TRUE,0.95,TRUE,0.6854038734057629,TRUE,FALSE,FALSE,TRUE,Same DK
lnorm,lnorm,mixed,TRUE,0.95,TRUE,lnorm,lnorm,mixed,TRUE,0.95,TRUE,1,TRUE,TRUE,TRUE,TRUE,Both same
lnorm,lnorm,mixed,TRUE,0.975,TRUE,lnorm,lnorm,mixed,TRUE,0.95,TRUE,0.8313651393481342,TRUE,TRUE,FALSE,TRUE,Both same
lnorm,weibull,mixed,TRUE,0.95,TRUE,lnorm,lnorm,mixed,TRUE,0.95,TRUE,0.7534246575342466,TRUE,FALSE,TRUE,TRUE,Same DK
lnorm,weibull,mixed,TRUE,0.975,TRUE,lnorm,lnorm,mixed,TRUE,0.95,TRUE,0.7760982522437412,TRUE,FALSE,FALSE,TRUE,Same DK
