"distance","right_censored","ID"
527.520066469022,0,7431
689.181943187425,1,7465
845.608575810097,1,7467
827.271653655686,1,7471
794.614525888157,1,7471
794.614525888157,1,7471
1359.84744110043,1,7502
1359.84744110043,1,7502
1359.84744110043,1,7502
706.590843312199,0,7507
706.590843312199,0,7507
706.65726374245,0,7507
706.679559616084,0,7507
706.679559616084,0,7507
474.3737926855,0,7510
49.1088565494983,0,7510
49.1088565494983,0,7510
49.1088565494983,0,7510
922.352966154718,0,7548
1288.46689403344,0,7549
1099.26774222034,0,7549
1401.13876040154,0,7549
1401.13876040154,0,7549
1401.13876040154,0,7549
1401.13876040154,0,7549
1401.13876040154,0,7549
1665.03760714147,0,7549
1692.45851875961,0,7549
1623.63957516809,0,7562
1623.69460274372,0,7562
1093.32963499164,0,7562
1093.32963499164,0,7562
1093.32963499164,0,7562
1473.26889486164,0,7562
1473.26889486164,0,7562
1473.26889486164,0,7562
1780.5904082563,0,7562
1780.5904082563,0,7562
1780.5904082563,0,7562
1780.5904082563,0,7562
1780.5904082563,0,7562
2132.51359987063,0,7562
2132.51359987063,0,7562
2132.51359987063,0,7562
2132.51359987063,0,7562
2132.51359987063,0,7562
1766.71090910345,0,7597
1766.75471429523,0,7597
1766.75471429523,0,7597
1766.75471429523,0,7597
1766.75471429523,0,7597
1766.75471429523,0,7597
1766.75471429523,0,7597
1766.75471429523,0,7597
1766.75471429523,0,7597
1679.5794857984,0,7597
1679.5794857984,0,7597
1679.5794857984,0,7597
1679.5794857984,0,7597
1679.5794857984,0,7597
1679.5794857984,0,7597
1766.75471429523,0,7597
1766.75471429523,0,7597
150.785636865209,0,7634
981.008596951177,1,7636
839.364141502287,1,7710
998.292011547425,0,7711
1441.25186697779,1,7732
567.622942115249,1,7776
559.968902660646,1,7776
559.968902660646,1,7776
559.968902660646,1,7776
559.968902660646,1,7776
1554.68125556158,1,7776
1554.68125556158,1,7776
1174.12456548612,1,7776
741.321962969879,1,7776
905.401622140591,1,7776
1404.94445918888,1,7776
1404.94445918888,1,7776
1404.94445918888,1,7776
873.735749756003,1,7809
643.980632791856,1,7839
693.969769815545,0,7880
693.969769815545,0,7880
1106.14280128206,0,7880
1106.14280128206,0,7880
1106.14280128206,0,7880
1106.14280128206,0,7880
1078.8139526518,0,7880
971.448496800983,0,7880
971.448496800983,0,7880
971.448496800983,0,7880
971.448496800983,0,7880
948.313336778393,1,7892
948.313336778393,1,7892
948.313336778393,1,7892
528.885641679083,0,7916
400.176687943509,0,7916
400.176687943509,0,7916
2546.76176694202,0,7931
847.298169758554,1,7950
847.298169758554,1,7950
891.66583826508,1,7950
891.66583826508,1,7950
866.093225194154,1,7963
866.093225194154,1,7963
643.495730139253,0,7969
643.495730139253,0,7969
389.194103446063,0,8065
1585.71972993154,0,8066
1585.71972993154,0,8066
878.928452823861,0,8066
878.928452823861,0,8066
942.797638259046,0,8066
942.797638259046,0,8066
942.797638259046,0,8066
572.562445621555,1,8074
572.562445621555,1,8074
572.562445621555,1,8074
991.179884400433,0,8114
822.533054809199,1,8193
822.533054809199,1,8193
822.533054809199,1,8193
492.015592202263,1,8198
511.282674390718,1,8200
511.282674390718,1,8200
731.879987094624,1,8200
731.879987094624,1,8200
731.879987094624,1,8200
731.879987094624,1,8200
731.879987094624,1,8200
740.430931151324,0,8208
740.430931151324,0,8208
740.480602000456,0,8208
740.430931151324,0,8208
581.661965571153,0,8213
723.561047274941,0,8213
581.661965571153,0,8213
437.237132519337,0,8213
218.54500889409,1,8215
601.609301154203,1,8231
601.609301154203,1,8231
601.609301154203,1,8231
601.609301154203,1,8231
680.69511662069,1,8231
680.69511662069,1,8231
1126.46174422888,1,8256
1126.46174422888,1,8256
1126.46174422888,1,8256
1126.46174422888,1,8256
1126.46174422888,1,8256
1366.99121571451,1,8256
1366.99121571451,1,8256
1310.66276564996,1,8256
1310.66276564996,1,8256
942.352462518966,1,8256
1252.88116126412,1,8256
1252.88116126412,1,8256
1252.88116126412,1,8256
773.633500753732,1,8291
1070.9740330136,0,8312
101.101670477534,0,8410
101.101670477534,0,8410
284.825338085005,0,8410
284.825338085005,0,8410
264.286570291174,0,8410
264.286570291174,0,8410
264.286570291174,0,8410
264.286570291174,0,8410
1185.71800183371,0,8410
1185.71800183371,0,8410
1410.35487272978,0,8410
1410.35487272978,0,8410
1592.67581643479,0,8410
1376.3640830422,0,8410
1376.3640830422,0,8410
1376.3640830422,0,8410
1376.3640830422,0,8410
1218.19177910508,0,8410
1218.19177910508,0,8410
755.013173401462,0,8410
755.013173401462,0,8410
755.013173401462,0,8410
755.013173401462,0,8410
525.646715253383,0,8410
525.646715253383,0,8410
525.646715253383,0,8410
246.054374377082,0,8751
246.054374377082,0,8751
246.054374377082,0,8751
246.054374377082,0,8751
246.054374377082,0,8751
508.756444842945,0,8751
1214.52122550482,0,8758
1214.52122550482,0,8758
1214.52122550482,0,8758
1214.52122550482,0,8758
968.9096663656,1,8864
1177.83113795352,1,8866
1177.83113795352,1,8866
1177.83113795352,1,8866
1177.83113795352,1,8866
1177.83113795352,1,8866
944.808409727803,1,8866
944.808409727803,1,8866
944.808409727803,1,8866
988.734661756866,1,8866
988.734661756866,1,8866
988.734661756866,1,8866
988.734661756866,1,8866
1819.12863669522,1,8866
1819.12863669522,1,8866
1174.5430023888,1,8866
1174.5430023888,1,8866
916.834443685046,1,8866
7394.64970578329,1,8866
7394.64970578329,1,8866
1797.18579590222,1,8866
1797.18579590222,1,8866
1797.18579590222,1,8866
1819.13672114892,1,8866
1819.13672114892,1,8866
1949.73661121304,1,8866
1949.73661121304,1,8866
1949.73661121304,1,8866
1949.73661121304,1,8866
434.263517304201,0,8902
379.339308918439,0,8902
349.861446756207,1,8926
349.861446756207,1,8926
349.861446756207,1,8926
349.861446756207,1,8926
349.861446756207,1,8926
349.861446756207,1,8926
349.861446756207,1,8926
920.950407792321,0,8928
920.950407792321,0,8928
920.950407792321,0,8928
955.563271973953,1,8957
819.787586186094,1,8959
819.805050774893,1,8959
323.155659005571,1,8966
323.155659005571,1,8966
323.155659005571,1,8966
763.785342119607,0,9010
763.785342119607,0,9010
903.551897229801,0,9031
388.376428048673,0,9031
388.376428048673,0,9031
348.873287570084,0,9031
348.873287570084,0,9031
334.080837992664,0,9031
334.080837992664,0,9031
334.080837992664,0,9031
1221.38745447998,0,9032
1221.38745447998,0,9032
1221.38745447998,0,9032
433.005775562501,1,9072
433.005775562501,1,9072
433.005775562501,1,9072
418.759060655926,1,9072
418.759060655926,1,9072
418.759060655926,1,9072
621.477803479717,1,9072
621.477803479717,1,9072
621.477803479717,1,9072
691.730015607458,1,9072
691.730015607458,1,9072
691.730015607458,1,9072
691.730015607458,1,9072
433.054105222212,1,9072
433.054105222212,1,9072
433.054105222212,1,9072
433.054105222212,1,9072
433.054105222212,1,9072
433.054105222212,1,9072
433.054105222212,1,9072
433.054105222212,1,9072
433.054105222212,1,9072
433.054105222212,1,9072
433.054105222212,1,9072
433.054105222212,1,9072
433.054105222212,1,9072
433.054105222212,1,9072
433.054105222212,1,9072
433.054105222212,1,9072
897.184351582552,1,9145
897.184351582552,1,9145
1832.89695540777,1,9145
772.30667602395,1,9145
772.30667602395,1,9145
247.837208878279,1,9145
247.837208878279,1,9145
247.837208878279,1,9145
247.837208878279,1,9145
247.837208878279,1,9145
637.337295801423,0,9183
637.337295801423,0,9183
1165.91773307537,0,9183
1165.91773307537,0,9183
727.532311343248,0,9240
922.786606329602,0,9240
344.181400238672,0,9240
344.181400238672,0,9240
344.181400238672,0,9240
727.519231212091,0,9240
922.773380997482,0,9240
922.773380997482,0,9240
922.773380997482,0,9240
933.937054618159,1,9565
933.937054618159,1,9565
1218.89427304876,0,9574
1194.89708128225,0,9574
799.687448147759,1,9709
799.687448147759,1,9709
705.804779290465,1,9709
705.804779290465,1,9709
705.804779290465,1,9709
705.804779290465,1,9709
644.582799996281,0,1072
644.582799996281,0,1072
644.582799996281,0,1072
644.582799996281,0,1072
644.582799996281,0,1072
644.582799996281,0,1072
731.915976521447,1,2638
731.886088416068,1,2638
1032.49988121499,1,2755
1032.49988121499,1,2755
949.239127929163,0,2831
1107.66822601859,0,2839
964.102035752984,1,2881
964.102035752984,1,2881
1610.10392784074,0,2928
2229.2826723617,0,2928
2602.12152206856,0,2928
2382.89769713288,0,2928
2290.10953477215,0,2928
2290.10953477215,0,2928
2290.10953477215,0,2928
2290.10953477215,0,2928
3621.95468778056,0,2928
3621.95468778056,0,2928
3621.95603318886,0,2928
3621.95603318886,0,2928
1869.14987133662,0,2928
3749.41336276828,0,2928
3749.41336276828,0,2928
3661.39000099841,0,2928
3700.32603345967,0,2928
3730.6771923766,0,2928
793.459799033509,0,2947
793.458600850386,0,2947
440.786629260214,1,3008
927.702839464263,1,3016
927.702839464263,1,3016
842.329826533723,1,3019
854.045886435109,1,3025
854.045886435109,1,3025
854.045886435109,1,3025
854.045886435109,1,3025
665.190343562963,1,3070
540.559129982228,1,3070
1827.24939573262,1,3070
140.649096962738,0,3081
140.649096962738,0,3081
140.649096962738,0,3081
140.649096962738,0,3081
2192.99095164702,0,3116
272.034686477228,1,3190
1046.17663130711,1,3200
508.099155058808,0,3203
740.190967217256,0,3203
740.190967217256,0,3203
740.190967217256,0,3203
740.190967217256,0,3203
691.336449830554,1,3246
