caseID,ParentID,popID,popName,dogCount,dogsE,dogsV,Th,Td,dogDensityK,dayGenerated,serialInterval,dayInfectious,infectiousPeriod,x_coord,y_coord,strainID,typeOfCase,nExcursions,nDistinctDogs,diedE,nAbandonments,nBitesE,nBitesV,nReinfections,nFailedTransmissions,nTransmissions,Symptoms.started,Month.symptoms.started,Quarter.symptoms.started
1892,0,0,0,0,0,0,-1,-1,0,-1,0,1316,0,686685.76906646,9815165.20969697,38,INCURSION,0,0,0,0,0,0,0,0,0,2005-08-09,0,0
1930,0,0,0,0,0,0,-1,-1,0,-1,0,63,0,681957.646526779,9813607.43179114,39,INCURSION,0,0,0,0,0,0,0,0,0,2002-03-05,0,0
1956,0,0,0,0,0,0,-1,-1,0,-1,0,1319,0,661775.530858038,9790943.64756344,40,INCURSION,0,0,0,0,0,0,0,0,0,2005-08-12,0,0
1957,0,0,0,0,0,0,-1,-1,0,-1,0,226,0,662251.016047688,9796851.80065163,41,INCURSION,0,0,0,0,0,0,0,0,0,2002-08-15,0,0
1960,0,0,0,0,0,0,-1,-1,0,-1,0,1200,0,701959.161336887,9798903.35389803,42,INCURSION,0,0,0,0,0,0,0,0,0,2005-04-15,0,0
1977,0,0,0,0,0,0,-1,-1,0,-1,0,133,0,674178.1772958,9822799.98797219,43,INCURSION,0,0,0,0,0,0,0,0,0,2002-05-14,0,0
1980,0,0,0,0,0,0,-1,-1,0,-1,0,469,0,668956.446202373,9829937.74626603,44,INCURSION,0,0,0,0,0,0,0,0,0,2003-04-15,0,0
1990,0,0,0,0,0,0,-1,-1,0,-1,0,1200,0,670227.937265335,9831289.68569573,45,INCURSION,0,0,0,0,0,0,0,0,0,2005-04-15,0,0
2012,0,0,0,0,0,0,-1,-1,0,-1,0,1230,0,645052.010455434,9818592.98084931,46,INCURSION,0,0,0,0,0,0,0,0,0,2005-05-15,0,0
2018,0,0,0,0,0,0,-1,-1,0,-1,0,1268,0,640846.478459297,9811303.61341948,47,INCURSION,0,0,0,0,0,0,0,0,0,2005-06-22,0,0
2063,0,0,0,0,0,0,-1,-1,0,-1,0,1303,0,643354.899391138,9799308.90277398,48,INCURSION,0,0,0,0,0,0,0,0,0,2005-07-27,0,0
2145,0,0,0,0,0,0,-1,-1,0,-1,0,1414,0,676492.947444448,9787668.10020559,49,INCURSION,0,0,0,0,0,0,0,0,0,2005-11-15,0,0
2156,0,0,0,0,0,0,-1,-1,0,-1,0,1404,0,661264.390495096,9793473.39401418,50,INCURSION,0,0,0,0,0,0,0,0,0,2005-11-05,0,0
2165,0,0,0,0,0,0,-1,-1,0,-1,0,1105,0,651542.556288957,9783784.35849164,51,INCURSION,0,0,0,0,0,0,0,0,0,2005-01-10,0,0
2175,0,0,0,0,0,0,-1,-1,0,-1,0,257,0,650117.924900667,9779541.85745202,52,INCURSION,0,0,0,0,0,0,0,0,0,2002-09-15,0,0
2243,0,0,0,0,0,0,-1,-1,0,-1,0,226,0,650474.850778782,9819844.97136056,53,INCURSION,0,0,0,0,0,0,0,0,0,2002-08-15,0,0
2244,0,0,0,0,0,0,-1,-1,0,-1,0,806,0,649557.237092025,9821334.7669073,54,INCURSION,0,0,0,0,0,0,0,0,0,2004-03-17,0,0
2246,0,0,0,0,0,0,-1,-1,0,-1,0,1312,0,659305.486144406,9825721.2492363,55,INCURSION,0,0,0,0,0,0,0,0,0,2005-08-05,0,0
2357,0,0,0,0,0,0,-1,-1,0,-1,0,1549,0,689343.490563734,9800828.03133938,56,INCURSION,0,0,0,0,0,0,0,0,0,2006-03-30,0,0
2383,0,0,0,0,0,0,-1,-1,0,-1,0,1535,0,680067.145284831,9788639.45391005,57,INCURSION,0,0,0,0,0,0,0,0,0,2006-03-16,0,0
2397,0,0,0,0,0,0,-1,-1,0,-1,0,1574,0,672398.496791751,9783144.34741607,58,INCURSION,0,0,0,0,0,0,0,0,0,2006-04-24,0,0
