"Symptoms.started","step.length"
2011-01-25,0.0258241358011113
2011-01-25,0
2011-01-25,0
2011-01-25,994.838642851612
2011-01-25,0
2011-01-25,0
2011-01-25,0
2011-01-25,0
2011-01-25,0
2011-01-25,0
2011-01-25,122.413148454681
2011-01-25,0
2011-01-25,0
2011-01-25,0
2011-01-25,0
2011-01-25,117.613798390917
2011-01-25,22.9999455837595
2011-01-05,1464.69649838912
2011-01-05,0
2011-01-05,0
2011-06-09,0.0541726866250271
2011-06-09,0
2011-06-09,0
2011-06-09,0
2011-06-09,0
2011-06-09,1954.22124545119
2011-08-04,67.9908526750042
2011-08-04,0
2011-08-04,0
2011-08-04,0
2011-08-04,0
2011-08-04,0
2011-08-04,256.984195971486
2011-08-04,732.565030747956
2011-08-04,0
2011-09-05,0.0458718100591774
2011-09-05,87.6412281839497
2010-12-25,0.0462568884575444
2010-11-15,0.070357490893572
2010-11-15,0
2010-11-15,0
2011-01-15,1031.84576575368
2011-01-15,0
2011-04-20,0.0503098870030406
2011-04-20,0
2011-04-20,0
2011-04-20,0
2011-03-05,0
2011-04-05,0.0407066916774614
2011-05-20,0.0489803706415031
2011-05-20,0
2011-05-20,0
2011-04-25,0.0213178048119939
2011-04-25,5473.15082276022
2011-04-25,0
2011-04-25,762.443665421024
2011-04-25,0
2011-04-25,0
2011-01-05,0.0526708514532316
2011-01-05,0
2011-01-05,0
2011-01-05,0
2011-01-05,0
2011-01-05,0
2011-04-25,0
2011-04-25,0
2011-04-15,0.02387639935762
2011-04-15,0
2011-04-15,0
2011-04-15,0.0734303624608725
2011-05-05,0.00832745817383685
2011-05-05,0
2011-05-05,1710.96492297365
2011-05-05,0
2011-05-05,80.5231300781233
2011-05-05,202.074298769848
2011-05-05,0
2011-05-05,0
2011-05-05,1541.09248804004
2011-05-05,0
2011-05-05,76.94160430366
2011-05-05,0
2011-05-05,148.862933902275
2011-05-05,0
2011-05-05,259.138484126862
2011-05-05,0
2011-05-05,0
2011-05-05,0
2011-05-05,1875.9589129904
2011-05-05,119.201526591714
2011-05-05,0
2011-05-05,0
2011-04-05,0.050407794332809
2011-06-08,0.0492222426407357
2011-06-08,0
2011-06-08,0
2011-06-08,0
2011-06-08,0
2011-04-25,506.676400563612
2011-04-25,937.542389558588
2011-04-25,0
2011-04-25,159.477459850257
2011-04-25,0
2011-04-25,0
2011-04-25,0
2011-04-25,0
2011-04-25,0
2012-07-04,311.783870420506
2012-07-04,0
2012-05-25,0
2012-05-25,0
2012-03-05,0
2012-03-05,396.754653680776
2012-03-05,0
2012-03-05,944.57157451489
2012-03-05,0
2012-03-05,0
2012-03-05,705.223802151968
2012-03-05,0
2012-03-05,0
2012-02-25,0
2012-02-25,0
2012-02-25,0
2012-02-25,524.268813184923
2013-04-10,0
2013-04-10,0
2013-05-04,325.900409266244
2013-05-04,0
2013-05-04,305.221297274974
2013-05-04,511.214443617656
2013-05-04,0
2013-05-04,265.938567013809
2013-05-04,0
2013-05-04,0
2013-05-04,157.080094267395
2013-05-04,0
2013-05-04,152.981934532496
2013-05-04,0.0407224982015688
2013-05-04,297.271101523913
2013-05-04,0
2013-05-04,209.308497734965
2013-01-03,0
2014-06-28,0.0588088911532183
2014-06-28,0
2014-05-08,0.0492189659664539
2014-07-12,0
2014-04-18,0
2014-04-18,0.0502267123551822
2014-08-15,0.0664399235131703
2014-08-15,0
2014-08-15,0
2014-08-15,0
2014-08-15,0
2014-08-15,0
2014-08-15,0
2014-08-15,0
2003-06-16,0.0464526651100922
2004-10-25,0
2004-12-15,0.0392337178352526
2006-09-13,0.0419898743917961
2006-09-13,0
2006-09-13,266.875583183552
2006-09-13,215.989802989102
2007-04-25,15647.4318063009
2007-05-05,0
2007-04-15,296.730263247483
2008-07-25,0.0482909470472188
2008-08-03,0.0708936888082974
2008-08-03,0
2008-08-03,0
2008-08-03,2.16677642799171
2008-08-03,527.162664568419
2008-08-03,796.356701412418
2010-09-09,0
2010-09-09,0
2010-09-09,0
2010-09-09,0
2010-09-09,447.557632445365
2010-09-09,0
2010-09-09,0
2010-09-05,755.816358347315
2010-09-05,0
2010-09-05,0
2010-09-05,0
2010-09-05,0
2010-09-05,0
2010-11-20,0
2010-11-20,0
2010-11-20,0
2010-11-20,0
2010-11-20,0
2010-11-20,0
2010-11-14,0
2010-11-14,0
2010-11-14,0
2010-11-14,0
2010-12-13,151.32747067
2010-12-13,0
2010-12-13,0
2010-12-13,490.811029876124
2010-12-13,0
2010-12-13,0
2010-12-13,0
2010-09-20,300.097450104031
2010-12-25,0
2010-12-25,0
2010-12-25,0.0544164136174369
2010-12-17,0
2010-12-17,0
2011-01-29,396.247096666996
2011-01-29,0
2011-01-29,0
2011-01-05,1180.74706561743
2011-01-05,47.2540171416211
2011-01-05,86.925251681601
2011-01-05,47.4458328978957
2010-12-15,105.223562814085
2010-12-15,0
2010-12-25,133.153885475571
2011-01-15,0
2011-01-15,0
2011-01-15,0
2011-01-15,0
2011-01-15,0
2011-01-03,0.0362196106509688
2011-01-03,0
2010-12-25,167.764663102883
2010-12-25,0
2010-12-25,0
2010-12-25,0
2010-12-25,0
2010-12-25,0
2010-12-25,231.319970441579
2010-10-05,71.0070798450958
2010-10-05,0
2010-10-05,59.4134651984048
2010-10-05,0
